Time,PositionX,PositionY,PositionZ,OrientationX,OrientationY,OrientationZ,OrientationW
63.66252,0.08358693,1.139054,6.541352,0.1906886,-0.06559984,0.02039181,0.979244
63.67405,0.08388972,1.137953,6.541159,0.1953868,-0.06408063,0.02060653,0.9784135
63.68457,0.08417892,1.136801,6.540915,0.2005189,-0.06238962,0.0207925,0.9774801
63.69574,0.08455026,1.135446,6.540616,0.2062012,-0.06072648,0.02111959,0.9763951
63.70676,0.08486354,1.133985,6.540255,0.2125286,-0.05908904,0.02148139,0.9751301
63.71798,0.08513844,1.132407,6.539816,0.2195063,-0.05749348,0.02190338,0.9736692
63.72897,0.08542037,1.130574,6.539268,0.2275085,-0.05580908,0.02242502,0.9719169
63.7401,0.08571792,1.12872,6.538674,0.2357893,-0.05413308,0.02304483,0.9700217
63.75142,0.08604968,1.126758,6.538004,0.2446193,-0.05249096,0.02393798,0.9679014
63.76232,0.08630776,1.124859,6.537441,0.2529636,-0.05072282,0.0249591,0.9658228
63.77335,0.0866363,1.123056,6.536895,0.2603695,-0.0488749,0.02612335,0.9639173
63.78473,0.08688021,1.121385,6.536536,0.267158,-0.0466684,0.02730114,0.9621348
63.79619,0.08719814,1.119841,6.536247,0.2733626,-0.04447852,0.02830778,0.9604651
63.80697,0.08743942,1.118405,6.536026,0.2787271,-0.04224125,0.02942374,0.9589897
63.81804,0.08766401,1.117018,6.53594,0.2835314,-0.04029381,0.03045803,0.9576318
63.82937,0.08787334,1.115935,6.535905,0.2873831,-0.0384083,0.03139927,0.9565301
63.84011,0.08803415,1.114876,6.535945,0.2909642,-0.03660284,0.03225514,0.9554893
63.8511,0.08824074,1.113923,6.536109,0.2938553,-0.03502059,0.03282748,0.9546439
63.86233,0.08844674,1.113059,6.536207,0.2963473,-0.03341676,0.03318629,0.9539184
63.87334,0.08862555,1.112187,6.536324,0.2993069,-0.03192794,0.03351428,0.9530335
63.88435,0.08873963,1.11128,6.536336,0.302183,-0.03063532,0.03387673,0.9521551
63.89578,0.08882964,1.110403,6.536341,0.3053111,-0.02939381,0.0341644,0.9511855
63.90667,0.0889318,1.109553,6.536248,0.3085369,-0.02816,0.03454908,0.9501676
63.91798,0.089082,1.10882,6.5363,0.3118416,-0.02705674,0.03482423,0.9491102
63.92883,0.08919418,1.10798,6.536273,0.3150206,-0.0260304,0.03516674,0.9480758
63.93988,0.08923042,1.107272,6.536182,0.3178835,-0.02513381,0.03569931,0.9471241
63.95098,0.08928239,1.106574,6.536177,0.3204758,-0.02440272,0.03635702,0.9462441
63.96257,0.08930719,1.105902,6.536151,0.3227535,-0.02367269,0.03703946,0.9454617
63.97368,0.08929133,1.105291,6.536186,0.324831,-0.0230207,0.03776648,0.9447373
63.98427,0.08939683,1.104764,6.536285,0.3266934,-0.02234699,0.03851393,0.9440809
63.99672,0.08935773,1.104289,6.536379,0.3283315,-0.02170754,0.03921608,0.9434985
64.00747,0.08936429,1.103844,6.536482,0.3298529,-0.02127365,0.03989249,0.9429491
64.01859,0.08932734,1.103417,6.53658,0.3313226,-0.02085107,0.04047307,0.9424185
64.0293,0.08921361,1.102972,6.536622,0.3327515,-0.02052822,0.04088657,0.9419041
64.04063,0.08919346,1.10261,6.536772,0.3341143,-0.02038672,0.04113884,0.9414136
64.05159,0.08913362,1.102272,6.536885,0.3351788,-0.0203198,0.04128804,0.9410301
64.06239,0.089064,1.10196,6.536999,0.3360524,-0.02015489,0.04140281,0.940717
64.0738,0.08903086,1.101728,6.537146,0.3368115,-0.02003846,0.04141537,0.9404473
64.08487,0.08896184,1.101471,6.537274,0.337534,-0.01986471,0.04146487,0.9401898
64.09596,0.0889436,1.101203,6.537373,0.338293,-0.01972925,0.04149004,0.9399187
64.1069,0.08883572,1.100976,6.537444,0.3390901,-0.01965198,0.04160064,0.9396282
64.11812,0.08877957,1.100781,6.537578,0.3398568,-0.01970324,0.04166814,0.9393471
64.12936,0.08871877,1.100614,6.537653,0.3404993,-0.01976852,0.04172261,0.9391106
64.14007,0.08864439,1.100453,6.537745,0.3410706,-0.01981043,0.04185824,0.9388964
64.15158,0.08859742,1.100409,6.537871,0.3415071,-0.01996689,0.04203022,0.9387267
64.16232,0.08859766,1.100336,6.537969,0.3418859,-0.02010655,0.04219814,0.9385782
64.17349,0.08852804,1.100244,6.538063,0.3421971,-0.0201994,0.0423067,0.938458
